"P1";"P2";"n"
"Ana Clara";"Ana Paula";3
"Ana Clara";"Ayrton";11
"Ana Clara";"Breno";12
"Ana Clara";"Caruso";4
"Ana Clara";"Diego";3
"Ana Clara";"Gleici";9
"Ana Clara";"Jaqueline";2
"Ana Clara";"Jéssica";3
"Ana Clara";"Kaysar";4
"Ana Clara";"Lucas";3
"Ana Clara";"Mahmoud";3
"Ana Clara";"Mara";1
"Ana Clara";"Nayara";6
"Ana Clara";"Patrícia";2
"Ana Clara";"Paula";9
"Ana Clara";"Wagner";3
"Ana Paula";"Breno";3
"Ana Paula";"Diego";9
"Ana Paula";"Gleici";2
"Ana Paula";"Jaqueline";1
"Ana Paula";"Jéssica";4
"Ana Paula";"Kaysar";8
"Ana Paula";"Lucas";8
"Ana Paula";"Mahmoud";14
"Ana Paula";"Nayara";2
"Ana Paula";"Patrícia";12
"Ana Paula";"Paula";58
"Ana Paula";"Viegas";2
"Ana Paula";"Wagner";1
"Ayrton";"Breno";2
"Ayrton";"Caruso";4
"Ayrton";"Gleici";2
"Ayrton";"Jéssica";1
"Ayrton";"Kaysar";3
"Ayrton";"Lucas";5
"Ayrton";"Mahmoud";1
"Ayrton";"Nayara";3
"Ayrton";"Patrícia";2
"Ayrton";"Wagner";2
"Breno";"Caruso";1
"Breno";"Diego";1
"Breno";"Gleici";6
"Breno";"Jaqueline";8
"Breno";"Jéssica";4
"Breno";"Kaysar";1
"Breno";"Lucas";6
"Breno";"Mahmoud";2
"Breno";"Nayara";4
"Breno";"Patrícia";2
"Breno";"Paula";16
"Breno";"Viegas";2
"Breno";"Wagner";1
"Caruso";"Diego";4
"Caruso";"Gleici";9
"Caruso";"Jéssica";3
"Caruso";"Kaysar";6
"Caruso";"Lucas";13
"Caruso";"Mahmoud";9
"Caruso";"Nayara";5
"Caruso";"Patrícia";8
"Caruso";"Paula";6
"Caruso";"Viegas";2
"Caruso";"Wagner";2
"Diego";"Gleici";3
"Diego";"Jéssica";2
"Diego";"Kaysar";7
"Diego";"Lucas";4
"Diego";"Mahmoud";5
"Diego";"Mara";1
"Diego";"Nayara";3
"Diego";"Patrícia";12
"Diego";"Paula";11
"Diego";"Viegas";2
"Diego";"Wagner";2
"Gleici";"Jaqueline";1
"Gleici";"Jéssica";7
"Gleici";"Kaysar";5
"Gleici";"Lucas";4
"Gleici";"Mahmoud";4
"Gleici";"Nayara";4
"Gleici";"Patrícia";5
"Gleici";"Paula";8
"Gleici";"Viegas";2
"Gleici";"Wagner";24
"Jaqueline";"Jéssica";1
"Jaqueline";"Kaysar";4
"Jaqueline";"Lucas";3
"Jaqueline";"Mahmoud";1
"Jaqueline";"Mara";1
"Jaqueline";"Nayara";1
"Jaqueline";"Patrícia";1
"Jaqueline";"Paula";4
"Jéssica";"Kaysar";4
"Jéssica";"Lucas";59
"Jéssica";"Mahmoud";4
"Jéssica";"Mara";1
"Jéssica";"Nayara";2
"Jéssica";"Patrícia";7
"Jéssica";"Paula";7
"Jéssica";"Viegas";1
"Jéssica";"Wagner";4
"Kaysar";"Lucas";6
"Kaysar";"Mahmoud";4
"Kaysar";"Mara";1
"Kaysar";"Nayara";6
"Kaysar";"Patrícia";12
"Kaysar";"Paula";12
"Kaysar";"Viegas";1
"Kaysar";"Wagner";2
"Lucas";"Mahmoud";10
"Lucas";"Mara";1
"Lucas";"Nayara";12
"Lucas";"Patrícia";7
"Lucas";"Paula";12
"Lucas";"Viegas";2
"Lucas";"Wagner";6
"Mahmoud";"Mara";1
"Mahmoud";"Nayara";4
"Mahmoud";"Patrícia";7
"Mahmoud";"Paula";17
"Mahmoud";"Viegas";1
"Mahmoud";"Wagner";2
"Nayara";"Patrícia";2
"Nayara";"Paula";4
"Nayara";"Viegas";4
"Nayara";"Wagner";3
"Patrícia";"Paula";15
"Patrícia";"Viegas";1
"Patrícia";"Wagner";1
"Paula";"Viegas";3
"Paula";"Wagner";7
"Viegas";"Wagner";3
